id,company_id,name,tool_type,cost,notes,integrations, url,last_reviewed_date,company_id,created_at
59,51,Windfall,,,,,,,,
61,,DatabaseUSA,Data Broker,,,,,,,
62,53,Dun & Bradstreet ,Data Broker,,,,,,,
63,,Edgar (SEC),Data Broker,,,,,,,
64,,Larkspur,,,,,,,,
65,,Monday.com,,,,,,,,
66,,Pipl.com,,,,,,,,
67,,PowerQuery,Data Analytics,,,,,,,
68,,Reclaim the Records,Data Broker,,,,,,,
69,,RelSci,,,,,,,,
70,131,SalesNavigator,,,,,,,,
71,,Verigift,,,,,,,,
72,,Wealth-X,,,,,,,,
73,,ZoomInfo,,,,,,,,
74,,TheOrg,,,,,,,,
75,,LittleSis,Due Dilligence,,,,https://littlesis.org/database,2025-12-5,,
76,,Maltego,,,,,,,,
77,,OpenCorporates,,,,,,,,
78,,CorpWatch API,,,,,,,,
79,,BuiltWith,,,,,,,,
80,,Whois/ICANN Lookup,,,,,,,,
81,,Wayback Machine,,,,,,,,
82,,ProQuest,,,,,,,,
83,,DataAxle Reference Solutions,,,,,,,,
84,,Gephi,,,,,,,,
85,,Google Alerts,,,,,,,,
86,,TikTok,Social Media,,,,,,,
87,,Crunchbase,Company Info,,,,,,,
88,,Lucidchart,,,,,,,,
89,,OpenSecrets,,,,,,,,
90,,Statista,,,,,,,,
91,130,ValueLine,Company Info,,Helpful to understand industry market movers or big public companies. The most relevant datapoint for prospect research is the company financial health letter grade the ValueLine analysts provide in the bottom right corner of the ValueLine Investment Survey pdf - could be useful in an overview (e.g. A- financial health) or as a bullet point for supplemental descriptions of a company. Otherwise quite limited for prospect research. ,,,,,
92,,TheOfficialBoard,Executive Info,,"Surprisingly robust free options and pretty cheap paid ones honestly seems like a hidden gem. Limits its reach to public companies. From the probably outdated Wikipedia page: The Official Board is a France-based online contact database. The database maintains up-to-date corporate organizational and data charts for all the world's private and public companies exceeding $100 million in revenue which includes over 50,000 companies. The data is updated by industry experts and members of the site and is verified by each company. It is used to research organizational structures and find contact information for corporate executives.

The Official Board was founded by Amazon and Apple Inc. executive Thomas Lot in 2009. ","The website says there are integrations, but I didn't look too deep",https://www.theofficialboard.com/user/offre,2026-01-09,,
93,133,Salutary Data,Data Broker,,"Supplies contact information for tools like Nexis Uni. Details from Pitchbook: Provider of business data services intended for businesses to connect. The company offers data including postal codes phone numbers email name title and company details. Founded in 2015. I have accessed their reports via Nexis Uni and their ""biographies"" include compensation information as well as job titles and LinkedIn URLs. Nexis lets you download the Salutary Data reports as RTF or DOCX or PDF bundled or as separate files. Unsure of how they source their information but those two data points: compensation and LinkedIn URL are interesting.",,,,,
